timestamp_s,x,y,z,qx,qy,qz,qw
1773244214.472501,0.000086,-0.000069,0.139669,-0.002718,-0.000033,0.000185,0.999996
1773244214.507005,0.000114,-0.000065,0.139827,-0.002624,-0.000064,0.000171,0.999997
1773244214.539173,0.000114,-0.000065,0.139827,-0.002624,-0.000064,0.000171,0.999997
1773244214.572500,0.000026,0.000005,0.139478,-0.002715,-0.000072,0.000175,0.999996
1773244214.607776,0.000108,-0.000002,0.139648,-0.002291,-0.000084,0.000145,0.999997
1773244214.645200,0.000108,-0.000002,0.139648,-0.002291,-0.000084,0.000145,0.999997
1773244214.672642,0.000083,-0.000058,0.139631,-0.001994,-0.000081,0.000126,0.999998
1773244214.710025,0.000009,0.000025,0.139759,-0.002324,-0.000073,0.000152,0.999997
1773244214.739250,-0.000028,0.000009,0.139778,-0.001802,-0.000045,0.000118,0.999998
1773244214.774204,-0.000028,0.000009,0.139778,-0.001802,-0.000045,0.000118,0.999998
1773244214.807279,-0.000028,0.000009,0.139778,-0.001802,-0.000045,0.000118,0.999998
1773244214.839201,0.000072,0.000021,0.139819,-0.002550,-0.000099,0.000159,0.999997
1773244214.872456,0.000144,-0.000069,0.139725,-0.002373,-0.000124,0.000143,0.999997
1773244214.906972,-0.000037,-0.000043,0.139761,-0.002237,-0.000112,0.000140,0.999997
1773244214.940407,0.000015,0.000006,0.139757,-0.002673,-0.000087,0.000175,0.999996
1773244214.972507,0.000015,0.000006,0.139757,-0.002673,-0.000087,0.000175,0.999996
1773244215.007015,0.000145,0.000059,0.139497,-0.002735,-0.000085,0.000174,0.999996
1773244215.038992,0.000044,-0.000187,0.139589,-0.002558,-0.000062,0.000171,0.999997
1773244215.072465,0.000044,-0.000187,0.139589,-0.002558,-0.000062,0.000171,0.999997
1773244215.107447,0.000110,-0.000069,0.139629,-0.002172,-0.000084,0.000136,0.999998
1773244215.139190,0.000042,-0.000041,0.139696,-0.001071,-0.000105,0.000054,0.999999
1773244215.172434,-0.000017,-0.000043,0.139762,-0.001865,-0.000075,0.000119,0.999998
